"CD_CARGO";"NR_CANDIDATO";"NM_CANDIDATO";"NM_URNA_CANDIDATO";"CD_DETALHE_SITUACAO_CAND";"NR_PARTIDO";"SG_PARTIDO";"NR_FEDERACAO";"DT_NASCIMENTO";"CD_GENERO";"CD_SIT_TOT_TURNO";
"7";"65650";"EUDMAR NUNES BASTOS MICHALCZUK";"EDY BASTOS";"2";"65";"PC do B";"2";"06/12/1962";"2";"5";
"7";"22022";"EDEN ALVES AZEVEDO";"AZEVEDO";"2";"22";"PL";"-1";"11/06/1984";"2";"5";
"7";"15000";"EMERSON OLIVEIRA JARUDE THOMAZ";"EMERSON JARUDE";"2";"15";"MDB";"-1";"06/11/1989";"2";"2";
"7";"11133";"MARIA ANTÔNIA PINHEIRO BARBOSA";"MARIA ANTÔNIA";"2";"11";"PP";"-1";"06/12/1969";"4";"2";
"6";"7788";"EDIGLEY DE SOUZA ROSENDO";"EDI CELULAR";"2";"77";"SOLIDARIEDADE";"-1";"16/10/1975";"2";"4";
"6";"9099";"WILLINGTON DE MORAIS FERREIRA";"WILLINGTON (WA)";"2";"90";"PROS";"-1";"07/01/1976";"2";"4";
"7";"22700";"FABIOLA HELENA OLIVEIRA DE SOUZA";"DRA. FABIOLA HELENA";"2";"22";"PL";"-1";"20/02/1982";"4";"5";
"7";"44555";"WHENDY SNANKY PRAXEDES PONCIANO DA SILVA LIMA";"WHENDY LIMA";"2";"44";"UNIÃO";"-1";"23/09/1982";"2";"2";
"4";"50";"JANE DE SOUZA ROSAS";"JANE ROSAS";"2";"50";"PSOL";"3";"29/10/1975";"4";"4";
"7";"15010";"JOSÉ TANACA DA SILVA FERREIRA";"TANACA";"2";"15";"MDB";"-1";"29/08/1990";"2";"5";
"7";"44012";"ROSIMEIRY ARAUJO DA SILVA";"ROSIMEIRY ARAUJO";"2";"44";"UNIÃO";"-1";"29/03/1985";"4";"5";
"7";"55236";"ISAAC DA SILVA PIYÂKO";"ISAAC PIYÃKO";"2";"55";"PSD";"-1";"20/02/1972";"2";"5";
"6";"1933";"MARCELO ALEXANDRE GANUM BIMBI";"MARCELO BIMBI";"2";"19";"PODE";"-1";"09/10/1984";"2";"4";
"7";"90852";"JECSON CAVALCANTE DUTRA";"JECSON DUTRA";"2";"90";"PROS";"-1";"22/09/1976";"2";"4";
"6";"2020";"JECE LUIZ DA SILVA FERREIRA";"JECÉ MECANICO";"2";"20";"PSC";"-1";"27/11/1979";"2";"4";
"6";"5511";"FRANCISCO DA SILVA PIYÃKO";"FRANCISCO PIYÃKO";"2";"55";"PSD";"-1";"11/05/1968";"2";"4";
"6";"4533";"JOSÉ MANOEL DOS SANTOS";"ZÉ PREGO";"2";"45";"PSDB";"1";"01/08/1979";"2";"4";
"6";"7737";"MARIA DAMAIRA AGUIAR DE SOUZA";"DAMAIRA AGUIAR";"2";"77";"SOLIDARIEDADE";"-1";"17/04/1989";"4";"4";
"7";"55456";"JOSE AUGUSTO PINHEIRO DA SILVEIRA";"ZÉ AUGUSTO";"2";"55";"PSD";"-1";"28/07/1966";"2";"5";
"7";"23333";"JAILSON DE ALMEIDA SOUZA";"JAILSON ALMEIDA";"2";"23";"CIDADANIA";"1";"22/10/1978";"2";"5";
"7";"19333";"EDMIRQUE MOREIRA HERCULANO";"EDMIRK";"6";"19";"PODE";"-1";"02/09/1984";"4";"-1";
"7";"44700";"ANA CAROLINA PAIVA DE BRITO";"DRA CAROL";"2";"44";"UNIÃO";"-1";"04/01/1978";"4";"5";
"7";"55000";"HEITOR ANDRADE DE MACEDO FILHO";"HEITOR JUNIOR";"2";"55";"PSD";"-1";"08/11/1964";"2";"5";
"7";"15222";"JUNIOR MOREIRA DA SILVA";"JUNIOR MOREIRA";"2";"15";"MDB";"-1";"05/10/1986";"2";"5";
"6";"3647";"LEONEIDE OLIVEIRA DOS SANTOS";"LEO DO WALDEMAR MACIEL";"14";"36";"AGIR";"-1";"17/07/1962";"4";"4";
"6";"3663";"FRANCISCO SARAIVA GAMA DE SOUZA";"SARAIVA GAMA";"2";"36";"AGIR";"-1";"11/01/1977";"2";"4";
"7";"12200";"LEOPARDO SALES";"LEOPARDO YAWA BANE";"2";"12";"PDT";"-1";"24/02/1983";"2";"5";
"3";"11";"GLADSON DE LIMA CAMELI";"GLADSON CAMELI";"2";"11";"PP";"-1";"26/03/1978";"2";"1";
"6";"7727";"ANDERSON LIMA DE ANDRADE BRITO";"ANDERSON LIMA";"2";"77";"SOLIDARIEDADE";"-1";"05/09/1984";"2";"4";
"7";"22223";"JOSÉ AFONSO VASCONCELOS FERNANDES";"AFONSO FERNANDES";"2";"22";"PL";"-1";"02/06/1962";"2";"2";
"7";"15234";"NESIO MENDES DE CARVALHO";"NESIO CARVALHO";"2";"15";"MDB";"-1";"02/10/1970";"2";"5";
"7";"23456";"MAURICIO PEDRO SILVA";"MAURICIO DOS ESPETINHOS";"2";"23";"CIDADANIA";"1";"14/01/1974";"2";"5";
"10";"400";"JOSÉ DOS REIS ANASTÁCIO";"CORONEL ANASTÁCIO";"2";"40";"PSB";"-1";"20/06/1960";"2";"4";
"7";"22122";"ISMAEL DA SILVA MUNIZ";"ISMAEL MUNIZ";"2";"22";"PL";"-1";"15/01/1970";"2";"5";
"7";"50555";"MARIA SIRLENE ALVES MAGALHAES";"DENNYS";"2";"50";"PSOL";"3";"20/02/1964";"4";"4";
"7";"19192";"SAVANA SANTIAGO CARNEIRO";"SAVANA SANTIAGO";"2";"19";"PODE";"-1";"26/12/1985";"4";"5";
"7";"15678";"ANA LEILA GALVÃO MAIA MOREIRA";"LEILA GALVÃO";"2";"15";"MDB";"-1";"05/08/1970";"4";"5";
"6";"5523";"ROSANA SOUSA DO NASCIMENTO";"ROSANA NASCIMENTO";"2";"55";"PSD";"-1";"24/04/1969";"4";"4";
"7";"11106";"JOSÉ RAIMUNDO BARROSO BESTENE";"BESTENE";"2";"11";"PP";"-1";"23/08/1951";"2";"5";
"5";"900";"VANDA DENIR MILANI NOGUEIRA";"DRA. VANDA MILANI";"2";"90";"PROS";"-1";"17/09/1953";"4";"4";
"7";"10123";"KATIANE SANTIAGO SANTOS VENTURA";"TIA KATIANE";"2";"10";"REPUBLICANOS";"-1";"27/10/1987";"4";"5";
"6";"1234";"JORGE LUIS SILVA E SILVA";"JORGE LUÍS";"2";"12";"PDT";"-1";"16/09/1992";"2";"4";
"7";"10822";"ALEXANDRE BENVINDO FERNANDES";"ALEXANDRE FERNANDES";"2";"10";"REPUBLICANOS";"-1";"28/01/1981";"2";"5";
"7";"11321";"JOSÉ CICERO SANTIAGO";"SANTIAGO";"2";"11";"PP";"-1";"16/03/1963";"2";"5";
"6";"5522";"MARIA JESUITA ARRUDA DA SILVA";"JESUITA ARRUDA";"2";"55";"PSD";"-1";"01/06/1963";"4";"4";
"7";"20123";"JECE LUIZ DA SILVA FERREIRA";"JECÉ MECÂNICO";"6";"20";"PSC";"-1";"27/11/1979";"2";"-1";
"7";"13133";"SIDILENE SILVA LIMA";"SIDILENE LIMA";"2";"13";"PT";"2";"02/10/1989";"4";"5";
"3";"44";"MARCIO MIGUEL BITTAR";"MARCIO BITTAR";"2";"44";"UNIÃO";"-1";"28/06/1963";"2";"4";
"7";"12333";"PEDRO LUÍS LONGO";"PEDRO LONGO";"2";"12";"PDT";"-1";"14/05/1962";"2";"2";
"6";"6513";"MARIA PERPETUA DE ALMEIDA";"PERPETUA ALMEIDA";"2";"65";"PC do B";"2";"28/12/1964";"4";"4";
"7";"55444";"DRIELLE MENDES PEREIRA";"DRIELLE MENDES";"2";"55";"PSD";"-1";"09/10/1983";"4";"5";
"7";"12345";"JOSUÉ DOURADO DE ABREU";"JOSUÉ DOURADO";"2";"12";"PDT";"-1";"18/01/1980";"2";"5";
"6";"7789";"JOSÉ JANES GOMES DA SILVA";"JANES PETECA";"2";"77";"SOLIDARIEDADE";"-1";"09/03/1978";"2";"4";
"7";"36946";"ADALBERTO SOUZA DE ALMEIDA";"ADALBERTO ALMEIDA";"4";"36";"AGIR";"-1";"28/11/1975";"2";"4";
"6";"4412";"HIAMAR DE PAIVA PINHEIRO";"HIAMAR PINHEIRO";"2";"44";"UNIÃO";"-1";"29/04/1965";"4";"5";
"7";"55223";"JOCIRLENE BARBOSA DE SOUZA SANTOS";"JÔ CONSELHEIRA";"2";"55";"PSD";"-1";"29/06/1978";"4";"5";
"7";"10444";"SUZANA LOBEU ANDRADE";"SUZANA LOBEU";"2";"10";"REPUBLICANOS";"-1";"01/07/1976";"4";"5";
"7";"15123";"SIRLENE PEREIRA LUZ";"SIRLENE LUZ";"6";"15";"MDB";"-1";"02/11/1978";"4";"-1";
"6";"7770";"ISNAILDA DE SOUZA DA SILVA GONDIM";"ISNAILDA";"2";"77";"SOLIDARIEDADE";"-1";"21/11/1976";"4";"4";
"7";"22300";"MILTON AUGUSTO MACIEL DE SOUSA";"CORONEL AUGUSTO MACIEL";"2";"22";"PL";"-1";"28/06/1974";"2";"5";
"6";"1100";"JOSÉ ADRIANO RIBEIRO DA SILVA";"JOSÉ ADRIANO";"2";"11";"PP";"-1";"18/03/1966";"2";"5";
"6";"4515";"MARCIA MARIA SOUZA DA SILVA";"MARCIA MARIA";"2";"45";"PSDB";"1";"31/07/1971";"4";"4";
"5";"400";"JANILSON LOPES LEITE";"DR. JENILSON LEITE";"2";"40";"PSB";"-1";"02/01/1978";"2";"4";
"7";"36500";"MARIA EULALIA DA COSTA ARAÚJO";"MARIA EULÁLIA";"2";"36";"AGIR";"-1";"16/04/1994";"4";"4";
"7";"50333";"MARIA DA GLORIA DE SOUSA FERREIRA";"DINA";"2";"50";"PSOL";"3";"22/11/1955";"4";"4";
"7";"44444";"GILBERTO LIRA DE ALMEIDA";"GILBERTO LIRA";"2";"44";"UNIÃO";"-1";"16/01/1976";"2";"2";
"7";"77121";"MARIO MARCELO BRILHANTE";"MARCELO BRILHANTE";"2";"77";"SOLIDARIEDADE";"-1";"13/11/1974";"2";"4";
"9";"444";"GEMIL SALIM DE ABREU JUNIOR";"GEMIL JUNIOR";"2";"44";"UNIÃO";"-1";"11/04/1978";"2";"1";
"7";"51777";"UENA PAULA CRUZ ARAUJO";"UENA PAULA";"2";"51";"PATRIOTA";"-1";"01/12/1987";"4";"4";
"7";"23111";"MARIA NEDELY DA COSTA SOUSA";"NEDELY SOUSA";"2";"23";"CIDADANIA";"1";"14/09/1995";"4";"5";
"7";"36001";"FRANCISCO MOTA DE ANDRADE";"FRANCISCO PINTO";"2";"36";"AGIR";"-1";"08/08/1984";"2";"4";
"7";"45008";"MARIA APARECIDA FREITAS DA SILVA";"APARECIDA CIDINHA";"2";"45";"PSDB";"1";"25/12/1978";"4";"5";
"6";"5012";"WILLIAN DOS SANTOS FRANCA";"WILLIAM FRANÇA";"2";"50";"PSOL";"3";"29/07/1989";"2";"4";
"6";"4522";"JOÃO RICARDO PERES LEORNE";"SGT LEORNE";"2";"45";"PSDB";"1";"20/05/1972";"2";"4";
"7";"77200";"BENEILSON DA SILVA DAMASCENO";"MANELZINHO";"2";"77";"SOLIDARIEDADE";"-1";"06/12/1967";"2";"4";
"7";"12456";"FRANCISCO DE OLIVEIRA VIGA";"CHICO VIGA";"2";"12";"PDT";"-1";"25/03/1965";"2";"3";
"7";"11332";"JOÃO CARLOS DE ANDRADE PEREIRA";"JOÃO CARLOS";"2";"11";"PP";"-1";"24/06/1993";"2";"5";
"7";"45007";"CICERO FURTADO DA ROCHA";"CICERO FURTADO";"2";"45";"PSDB";"1";"28/05/1981";"2";"5";
"6";"3654";"EMILSON CHAVES DA SILVA";"EMILSON CHAVES";"2";"36";"AGIR";"-1";"20/07/1977";"2";"4";
"6";"1818";"NINAWA INU PEREIRA NUNES HUNI KUI";"NINAWA HUNI KUI";"2";"18";"REDE";"3";"15/03/1979";"2";"4";
"9";"199";"RENNAN BITHS DE LIMA LIMA";"RENNAN BITHS";"6";"12";"PDT";"-1";"";"-4";"-1";
"7";"55122";"MARCIO DE SOUZA BERNARDO";"MARCIO BERNARDO";"2";"55";"PSD";"-1";"18/02/1986";"2";"5";
"7";"44004";"FRANCINEUDO SOUZA DA COSTA";"FRANCINEUDO COSTA";"2";"44";"UNIÃO";"-1";"01/10/1985";"2";"5";
"7";"11257";"JEAN GONÇALVES DE HOLANDA";"PASTOR MAANAIM";"2";"11";"PP";"-1";"03/07/1969";"2";"5";
"7";"77889";"PAULO MOREIRA DE ARAÚJO";"PAULO ARAÚJO";"2";"77";"SOLIDARIEDADE";"-1";"29/05/1988";"2";"4";
"7";"15333";"LUAN LUZ DO NASCIMENTO";"PROFESSOR LUAN LUZ";"2";"15";"MDB";"-1";"13/03/1991";"2";"5";
"7";"90888";"OSDENIR SANTOS DE ARAUJO";"OSDENIR SANTOS";"2";"90";"PROS";"-1";"12/05/1981";"2";"4";
"7";"50500";"WALDIR DA SILVA FRANÇA";"WALDIR FRANÇA";"2";"50";"PSOL";"3";"30/11/1967";"2";"4";
"6";"1212";"JESUS SERGIO DE MENEZES";"JESUS SÉRGIO";"2";"12";"PDT";"-1";"10/06/1973";"2";"4";
"6";"2000";"CARLOS ALBERTO SILVA DO NASCIMENTO";"SGT CARLOS TANACA";"2";"20";"PSC";"-1";"26/07/1972";"2";"4";
"9";"364";"TIAGO DA COSTA FARIAS";"TIAGO FARIAS";"2";"36";"AGIR";"-1";"20/01/1985";"2";"4";
"6";"2323";"MARIA ODETE OLIVEIRA DA CONCEIÇÃO SAMPAIO";"PASTORA ODETE";"2";"23";"CIDADANIA";"1";"03/10/1984";"4";"4";
"7";"55512";"WELBER DE LIMA E SILVA";"DR WELBER DE LIMA";"2";"55";"PSD";"-1";"09/08/1972";"2";"5";
"7";"44999";"OTON RODRIGUES SALES";"OTON SALES";"2";"44";"UNIÃO";"-1";"21/08/1967";"2";"5";
"7";"11234";"MANOEL MORAES DE SALES";"MANOEL MORAES";"2";"11";"PP";"-1";"07/01/1963";"2";"3";
"7";"12212";"GEISIANE DA COSTA MACIEL";"GIGI";"2";"12";"PDT";"-1";"30/09/1994";"4";"5";
"7";"77122";"JOSSICLEUDO SAMPAIO DE MELO";"JOSSICLEUDO MELO";"2";"77";"SOLIDARIEDADE";"-1";"26/03/1987";"2";"4";
"7";"22001";"MARLÚCIA ADRIÃO FERREIRA BARROS";"LUCA DO RONALDO";"2";"22";"PL";"-1";"21/01/1970";"4";"5";
"7";"90321";"RAIMUNDO NONATO DA SILVA SANTOS";"RAY SANTOS";"2";"90";"PROS";"-1";"06/05/1962";"2";"4";
"7";"77567";"MANOEL MACHADO DA ROCHA";"MANOEL MACHADO";"4";"77";"SOLIDARIEDADE";"-1";"18/09/1942";"2";"4";
"6";"4444";"FABIO GONÇALVES DE RUEDA";"DR FABIO RUEDA";"2";"44";"UNIÃO";"-1";"17/07/1977";"2";"5";
"6";"2055";"MARCOS ARAUJO DE CARVALHO";"MARQUINHOS GUERREIRO";"6";"20";"PSC";"-1";"06/02/1989";"2";"-1";
"7";"10190";"JOSUE SANTIAGO MENDONÇA";"SARGENTO MENDONÇA";"2";"10";"REPUBLICANOS";"-1";"04/08/1980";"2";"5";
"7";"13222";"JANARA OLIVEIRA DE SOUZA ALMEIDA";"JANARA ALMEIDA";"6";"13";"PT";"2";"21/11/1985";"4";"-1";
"7";"19456";"JOSÉ ARNALDO DA SILVA BARROS";"PASTOR ARNALDO BARROS";"2";"19";"PODE";"-1";"23/04/1969";"2";"5";
"7";"11123";"VILANDRO DE CASTRO SOARES";"BEBE BOLSONARO";"2";"11";"PP";"-1";"17/01/1962";"2";"5";
"5";"364";"DIMAS DA SILVA SANDAS";"DIMAS SANDAS";"2";"36";"AGIR";"-1";"06/07/1981";"2";"4";
"7";"36123";"JURANDIR FERREIRA DA SILVA";"DIR SILVA";"2";"36";"AGIR";"-1";"10/03/1978";"2";"4";
"6";"1568";"JEFFERSON MONTEIRO SOARES";"JEFFERSON MONTEIRO SOARES";"2";"15";"MDB";"-1";"21/08/1990";"2";"4";
"7";"55789";"ESPERIDIÃO TEIXEIRA DE SOUZA FILHO";"ESPERIDIÃO DOS TRANSPORTES";"2";"55";"PSD";"-1";"11/12/1968";"2";"5";
"7";"12444";"ITAMIR ALISSON NEVES DE LIMA";"ITAMIR LIMA";"2";"12";"PDT";"-1";"27/10/1980";"2";"5";
"7";"22345";"JOSE LOPES JUNIOR";"ZÉ LOPES";"2";"22";"PL";"-1";"07/12/1981";"2";"5";
"6";"4055";"RUBBY DA SILVA RODRIGUES";"RUBBY RODRIGUES ";"2";"40";"PSB";"-1";"26/01/1987";"4";"4";
"6";"5123";"CLARA REGINA DUTRA DA SILVA";"REGINA DUTRA";"2";"51";"PATRIOTA";"-1";"27/08/1979";"4";"4";
"7";"36398";"MARIA ZUILA DOS SANTOS SILVA";"ZUILA DOMÉSTICA";"2";"36";"AGIR";"-1";"15/10/1964";"4";"4";
"7";"10555";"FRANCISCO CLODOALDO DE SOUZA RODRIGUES";"CLODOALDO RODRIGUES";"2";"10";"REPUBLICANOS";"-1";"02/10/1974";"2";"2";
"7";"77987";"FRANCISCO SIDENELIO DE SOUZA PEDROSA";"SIDA DO MERCANTIL SÃO PAULO ";"2";"77";"SOLIDARIEDADE";"-1";"19/04/1981";"2";"4";
"7";"51200";"JURACY MELO NOGUEIRA";"JURACY NOGUEIRA";"14";"51";"PATRIOTA";"-1";"28/12/1956";"2";"4";
"7";"40043";"CRISTIANE DA PENHA NASCIMENTO NOGUEIRA";"PROFESSORA CRIS NOGUEIRA";"2";"40";"PSB";"-1";"21/01/1978";"4";"5";
"7";"27222";"RAIMUNDA NONATO DA COSTA ASSIS";"RAY";"2";"27";"DC";"-1";"19/04/1962";"4";"4";
"7";"40777";"JOSÉ ROMILDO DA SILVA";"ROMILDO SILVA";"2";"40";"PSB";"-1";"06/12/1992";"2";"5";
"7";"45555";"MARIA DO SOCORRO MARTINS";"SOCORRO MARTINS";"2";"45";"PSDB";"1";"07/06/1962";"4";"5";
"7";"90700";"MARIA EUNICE MIRANDA DA SILVA";"MARIA EUNICE";"2";"90";"PROS";"-1";"07/04/1972";"4";"4";
"7";"44144";"EROS ASFURI BARROSO";"EROS ASFURY";"2";"44";"UNIÃO";"-1";"03/03/1974";"2";"5";
"6";"1123";"ELIATIAN DA SILVA NOGUEIRA";"DR NOGUEIRA";"2";"11";"PP";"-1";"24/05/1985";"2";"5";
"7";"27111";"GREICE JANAINA DA COSTA LIMA SOUZA";"JANAINA DA BAIXA VERDE";"2";"27";"DC";"-1";"10/04/1981";"4";"4";
"7";"13131";"MARIA JOCICLEIDE LIMA DE AGUIAR";"JOCI AGUIAR";"2";"13";"PT";"2";"13/02/1975";"4";"5";
"6";"4343";"CLAUDIO EZEQUIEL PASSAMANI";"CLAUDIO EZEQUIEL";"2";"43";"PV";"2";"19/01/1966";"2";"4";
"6";"1106";"SAMIR FIGUEIREDO BESTENE";"SAMIR BESTENE";"2";"11";"PP";"-1";"27/07/1978";"2";"5";
"7";"10022";"PEDRO RAIMUNDO DE OLIVEIRA";"PEDRO DO DAYANE";"2";"10";"REPUBLICANOS";"-1";"07/03/1957";"2";"5";
"7";"44234";"JANAINA AZEVEDO DE SOUZA DANTAS";"JANAINA DANTAS";"2";"44";"UNIÃO";"-1";"01/04/1981";"4";"5";
"6";"5050";"LUCIANO BANDEIRA MADEIRA";"LUCIANO MADEIRA";"6";"50";"PSOL";"3";"02/09/1976";"2";"4";
"6";"2929";"MARIA IEDA DA SILVA COELHO";"MARIA IEDA";"14";"29";"PCO";"-1";"25/11/1979";"4";"4";
"7";"15151";"EDUARDO DE PAIVA DIAS";"EDUARDO DIAS";"2";"15";"MDB";"-1";"15/11/1959";"2";"5";
"6";"5020";"ROGÉRIO DA SILVA E SILVA";"PROFESSOR ROGÉRIO";"2";"50";"PSOL";"3";"24/05/1990";"2";"4";
"7";"50123";"MARCOS ALEXANDRE DOS ANJOS";"MARQUINHO TCHUCKA S MOTOS";"2";"50";"PSOL";"3";"12/06/1974";"2";"4";
"7";"10222";"HELANE CHRISTINA DA ROCHA SILVA";"DRA HELANE CHRISTINA";"2";"10";"REPUBLICANOS";"-1";"31/10/1981";"4";"5";
"7";"15015";"FRANCISCA SILVA DE MOURA LIMA";"FRANCISCA BASÍLIO";"2";"15";"MDB";"-1";"28/07/1974";"4";"5";
"7";"10567";"JARIS DE SOUZA CARVALHO";"JAIRO CARVALHO";"2";"10";"REPUBLICANOS";"-1";"24/02/1981";"2";"5";
"7";"22111";"JUSCYHELISON OLIVEIRA ROSA TAVARES";"JUCY";"2";"22";"PL";"-1";"21/11/1980";"2";"5";
"7";"90234";"LETICIA LUIZA";"LETICIA YAWANAWÁ";"2";"90";"PROS";"-1";"10/03/1968";"4";"4";
"7";"55999";"AGLEISON ALEXANDRINO CORREIA";"TENENTE CORONEL AGLEISON";"2";"55";"PSD";"-1";"02/05/1979";"2";"5";
"7";"19223";"HERICA MACEDO GRANZOTTO ALVES";"HERICA GRANZOTTO";"2";"19";"PODE";"-1";"29/10/1982";"4";"5";
"6";"1080";"GERALDO ISRAEL MILANI DE NOGUEIRA";"ISRAEL MILANI";"2";"10";"REPUBLICANOS";"-1";"11/03/1988";"2";"5";
"7";"36333";"JAQUELINE DA COSTA MEDEIROS";"JAQUELINE MEDEIROS";"2";"36";"AGIR";"-1";"04/10/1996";"4";"4";
"7";"44789";"RAIMUNDO DECIO BARBOSA DA SILVA";"DECIO HUNIKUI";"2";"44";"UNIÃO";"-1";"06/11/1971";"2";"5";
"7";"55333";"ROMANO FERNANDES GOUVEA";"ROMANO GOUVEA";"2";"55";"PSD";"-1";"29/08/1975";"2";"5";
"6";"4477";"MIRLA MORAES MIRANDA MARIANO";"MIRLA MIRANDA";"2";"44";"UNIÃO";"-1";"29/05/1979";"4";"5";
"6";"1300";"MARIA SANTIAGO DE LIMA";"MARIA SANTIAGO";"2";"13";"PT";"2";"08/12/1962";"4";"4";
"6";"1909";"IZABELLE ARAÚJO DO NASCIMENTO";"IZABELLE ARAÚJO";"2";"19";"PODE";"-1";"13/05/1995";"4";"4";
"7";"12300";"ADERLÂNDIO NASCIMENTO DE FRANÇA";"ADERLÂNDIO FRANÇA";"2";"12";"PDT";"-1";"17/12/1978";"2";"5";
"6";"2345";"CARLOS LEANDRO DA COSTA SOUSA";"CARLOS LEANDRO";"2";"23";"CIDADANIA";"1";"06/12/1983";"2";"4";
"6";"9011";"JONILSON CABRAL DOS SANTOS";"CABRAL";"2";"90";"PROS";"-1";"04/02/1971";"2";"4";
"6";"7712";"MARIA MIRLE DO NASCIMENTO CESAR DE SOUSA";"MIRLA CESAR";"2";"77";"SOLIDARIEDADE";"-1";"28/10/1981";"4";"4";
"6";"6565";"JOSÉ NUNES DA CRUZ";"ZÉ DA ROSA";"2";"65";"PC do B";"2";"15/12/1967";"2";"4";
